"date";"p_d11";"s_d11";"p_d12";"s_d12";"p_e11";"s_e11";"p_e12";"s_e12";"p_b11";"s_b11";"p_b12";"s_b12"
"2013-01-01";0;0;0;0;0;0;0;0;0;0;0;0
"2013-01-02";0;296;0;151;0;140;0;75;0;763;0;337
"2013-01-03";0;173;0;114;0;74;0;41;0;658;0;206
"2013-01-04";0;192;0;99;0;39;0;32;0;580;0;156
"2013-01-05";0;260;0;155;0;67;0;39;0;646;0;248
"2013-01-06";0;239;0;174;0;102;0;78;0;647;0;357
"2013-01-07";0;184;0;85;0;48;0;38;0;421;0;219
"2013-01-08";0;160;0;124;0;63;0;33;0;448;0;194
"2013-01-09";0;154;0;91;0;41;0;31;0;375;0;201
"2013-01-10";0;137;0;127;0;62;0;25;0;669;0;274
"2013-01-11";0;132;0;121;0;35;0;34;0;391;0;152
"2013-01-12";0;205;0;138;0;62;0;45;0;569;0;211
"2013-01-13";0;245;0;107;0;81;0;54;0;585;0;483
"2013-01-14";0;120;0;102;0;80;0;33;0;409;0;185
"2013-01-15";0;145;0;100;0;52;0;32;0;462;0;168
"2013-01-16";0;140;0;81;0;68;0;28;0;479;0;174
"2013-01-17";0;122;0;124;0;42;0;41;0;558;0;209
"2013-01-18";0;161;0;117;0;44;0;24;0;478;0;180
"2013-01-19";0;210;0;138;0;55;0;41;0;528;0;246
"2013-01-20";0;240;0;157;0;82;0;54;0;617;0;227
"2013-01-21";0;162;0;106;0;54;0;28;0;480;0;258
"2013-01-22";0;168;0;149;0;50;0;43;0;440;0;113
"2013-01-23";0;148;0;133;0;43;0;37;0;458;0;137
"2013-01-24";0;121;0;101;0;49;0;29;0;542;0;333
"2013-01-25";0;168;0;109;0;37;0;33;0;480;0;408
"2013-01-26";0;235;0;171;0;55;0;38;0;580;0;172
"2013-01-27";0;258;0;147;0;94;0;49;0;577;0;390
"2013-01-28";0;123;0;109;0;52;0;34;0;519;0;211
"2013-01-29";0;170;0;117;0;39;0;43;0;477;0;136
"2013-01-30";0;117;0;95;0;32;0;31;0;484;0;145
"2013-01-31";0;145;0;93;0;38;0;28;0;540;0;218
"2013-02-01";0;163;0;131;0;62;0;35;0;528;0;163
"2013-02-02";0;270;0;161;0;83;0;55;0;694;0;245
"2013-02-03";0;269;0;169;0;87;0;48;0;629;0;235
"2013-02-04";0;150;0;117;0;58;0;40;0;604;0;142
"2013-02-05";0;221;0;96;0;71;0;40;0;625;0;200
"2013-02-06";0;157;0;108;0;53;0;27;0;522;0;144
"2013-02-07";0;163;0;108;0;47;0;35;0;674;0;213
"2013-02-08";0;206;0;93;0;54;0;22;0;532;0;254
"2013-02-09";0;230;0;202;0;57;0;51;0;647;0;270
"2013-02-10";0;246;0;140;0;75;0;33;0;798;0;156
"2013-02-11";0;218;0;141;0;48;0;41;0;604;0;158
"2013-02-12";0;189;0;117;0;62;0;42;0;520;0;129
"2013-02-13";0;146;0;114;0;88;0;38;0;589;0;190
"2013-02-14";0;189;0;125;0;42;0;18;0;836;0;215
"2013-02-15";0;173;0;113;0;51;0;30;0;536;0;154
"2013-02-16";0;223;0;170;0;74;0;50;0;576;0;352
"2013-02-17";0;226;0;169;0;77;0;52;0;615;0;348
"2013-02-18";0;161;0;130;0;46;0;28;0;584;0;266
"2013-02-19";0;119;0;135;0;43;0;36;0;547;0;260
"2013-02-20";0;154;0;95;0;52;0;16;0;539;0;149
"2013-02-21";0;144;0;122;0;53;0;35;0;619;0;200
"2013-02-22";0;139;0;105;0;38;0;28;0;448;0;194
"2013-02-23";0;211;0;181;0;68;0;38;0;501;0;210
"2013-02-24";0;274;0;159;0;88;0;28;0;641;0;272
"2013-02-25";0;132;0;100;0;55;0;34;0;561;0;132
"2013-02-26";0;151;0;152;0;35;0;32;0;442;0;171
"2013-02-27";0;109;0;108;0;29;0;25;0;486;0;212
"2013-02-28";0;179;0;115;0;56;0;37;0;576;0;276
"2013-03-01";0;182;0;120;0;61;0;26;0;593;0;203
"2013-03-02";0;273;0;157;0;106;0;41;0;752;0;286
"2013-03-03";0;285;0;194;0;115;0;53;0;663;0;496
"2013-03-04";0;207;0;119;0;75;0;30;0;563;0;270
"2013-03-05";0;210;0;130;0;66;0;40;0;576;0;175
"2013-03-06";0;165;0;141;0;53;0;39;0;557;0;206
"2013-03-07";0;244;0;124;0;42;0;33;0;670;0;161
"2013-03-08";0;160;0;136;0;47;0;16;0;395;0;285
"2013-03-09";0;197;0;171;0;64;0;36;0;612;0;232
"2013-03-10";0;295;0;180;0;92;0;53;0;673;0;347
"2013-03-11";0;169;0;113;0;52;0;39;0;451;0;269
"2013-03-12";0;176;0;80;0;47;0;29;0;465;0;147
"2013-03-13";0;139;0;98;0;46;0;29;0;415;0;178
"2013-03-14";0;146;0;113;0;44;0;33;0;467;0;193
"2013-03-15";0;175;0;141;0;47;0;21;0;521;0;385
"2013-03-16";0;211;0;187;0;58;0;35;0;509;0;237
"2013-03-17";0;242;0;170;0;101;0;49;0;553;0;394
"2013-03-18";0;117;0;103;0;43;0;43;0;530;0;220
"2013-03-19";0;155;0;131;0;47;0;39;0;494;0;223
"2013-03-20";0;178;0;108;0;42;0;21;0;595;0;206
"2013-03-21";0;155;0;107;0;69;0;37;0;615;0;189
"2013-03-22";0;144;0;113;0;39;0;23;0;437;0;140
"2013-03-23";0;222;0;201;0;71;0;45;0;610;0;339
"2013-03-24";0;251;0;98;0;85;0;47;0;583;0;338
"2013-03-25";0;160;0;129;0;49;0;47;0;439;0;232
"2013-03-26";0;184;0;132;0;49;0;27;0;475;0;137
"2013-03-27";0;275;0;208;0;42;0;20;0;552;0;193
"2013-03-28";0;440;0;286;0;79;0;52;0;611;0;204
"2013-03-29";0;460;0;351;0;102;0;50;0;627;0;166
"2013-03-30";0;241;0;140;0;91;0;36;0;590;0;176
"2013-03-31";0;201;0;112;0;84;0;36;0;576;0;214
"2013-04-01";0;209;0;186;0;95;0;49;0;625;0;439
"2013-04-02";0;196;0;127;0;79;0;41;0;620;0;289
"2013-04-03";0;182;0;148;0;55;0;32;0;612;0;235
"2013-04-04";0;196;0;97;0;54;0;38;0;651;0;331
"2013-04-05";0;132;0;118;0;42;0;29;0;520;0;177
"2013-04-06";0;259;0;233;0;74;0;41;0;570;0;338
"2013-04-07";0;274;0;186;0;90;0;62;0;666;0;296
"2013-04-08";0;142;0;147;0;53;0;42;0;602;0;365
"2013-04-09";0;170;0;90;0;51;0;36;0;519;0;259
"2013-04-10";0;176;0;122;0;64;0;29;0;565;0;325
"2013-04-11";0;185;0;89;0;53;0;27;0;581;0;227
"2013-04-12";0;135;0;135;0;37;0;19;0;474;0;194
"2013-04-13";0;236;0;204;0;60;0;44;0;494;0;261
"2013-04-14";0;273;0;172;0;77;0;45;0;574;0;284
"2013-04-15";0;184;0;104;0;68;0;43;0;538;0;257
"2013-04-16";0;212;0;106;0;56;0;37;0;521;0;172
"2013-04-17";0;130;0;143;0;29;0;22;0;504;0;190
"2013-04-18";0;119;0;100;0;43;0;37;0;520;0;158
"2013-04-19";0;119;0;111;0;36;0;29;0;453;0;220
"2013-04-20";0;247;0;176;0;66;0;42;0;528;0;230
"2013-04-21";0;229;0;164;0;92;0;59;0;620;0;293
"2013-04-22";0;152;0;120;0;49;0;50;0;520;0;224
"2013-04-23";0;167;0;129;0;51;0;21;0;540;0;305
"2013-04-24";0;159;0;110;0;39;0;36;0;435;0;148
"2013-04-25";0;143;0;110;0;34;0;29;0;539;0;180
"2013-04-26";0;123;0;155;0;49;0;32;0;454;0;188
"2013-04-27";0;198;0;171;0;59;0;40;0;538;0;268
"2013-04-28";0;251;0;164;0;98;0;48;0;594;0;329
"2013-04-29";0;153;0;140;0;48;0;38;0;658;0;225
"2013-04-30";0;184;0;121;0;50;0;37;0;465;0;180
"2013-05-01";0;219;0;176;0;80;0;48;0;596;0;224
"2013-05-02";0;221;0;124;0;76;0;36;0;524;0;216
"2013-05-03";0;169;0;138;0;44;0;23;0;626;0;290
"2013-05-04";0;284;0;199;0;82;0;43;0;679;0;351
"2013-05-05";0;342;0;179;0;139;0;67;0;759;0;310
"2013-05-06";0;158;0;136;0;72;0;44;0;494;0;245
"2013-05-07";0;177;0;113;0;65;0;32;0;518;0;256
"2013-05-08";0;151;0;128;0;48;0;26;0;481;0;225
"2013-05-09";0;145;0;116;0;55;0;27;0;516;0;132
"2013-05-10";0;201;0;130;0;114;0;27;0;695;0;149
"2013-05-11";0;305;0;188;0;121;0;69;0;568;0;270
"2013-05-12";0;242;0;175;0;142;0;78;0;536;0;209
"2013-05-13";0;160;0;158;0;100;0;68;0;477;0;287
"2013-05-14";0;153;0;135;0;80;0;59;0;501;0;221
"2013-05-15";0;120;0;125;0;95;0;47;0;586;0;217
"2013-05-16";0;161;0;96;0;123;0;45;0;746;0;167
"2013-05-17";0;181;0;141;0;84;0;40;0;393;0;214
"2013-05-18";0;229;0;185;0;113;0;63;0;574;0;269
"2013-05-19";0;242;0;163;0;166;0;55;0;638;0;247
"2013-05-20";0;144;0;159;0;87;0;64;0;524;0;258
"2013-05-21";0;126;0;129;0;84;0;35;0;492;0;269
"2013-05-22";0;130;0;126;0;84;0;55;0;453;0;216
"2013-05-23";0;154;0;105;0;81;0;36;0;570;0;181
"2013-05-24";0;222;0;128;0;137;0;59;0;582;0;181
"2013-05-25";0;195;0;180;0;103;0;52;0;488;0;226
"2013-05-26";0;221;0;201;0;138;0;66;0;577;0;338
"2013-05-27";0;182;0;119;0;85;0;45;0;492;0;258
"2013-05-28";0;140;0;120;0;65;0;59;0;483;0;181
"2013-05-29";0;123;0;101;0;39;0;50;0;425;0;512
"2013-05-30";0;197;0;135;0;38;0;52;0;732;0;214
"2013-05-31";0;205;0;121;0;27;0;19;0;550;0;189
"2013-06-01";0;289;0;173;0;65;0;45;0;576;0;202
"2013-06-02";0;301;0;192;0;92;0;74;0;669;0;409
"2013-06-03";0;196;0;118;0;64;0;53;0;634;0;393
"2013-06-04";0;194;0;111;0;68;0;56;0;655;0;303
"2013-06-05";0;137;0;102;0;63;0;42;0;531;0;288
"2013-06-06";0;200;0;121;0;58;0;38;0;708;0;255
"2013-06-07";0;166;0;115;0;34;0;23;0;501;0;193
"2013-06-08";0;200;0;157;0;60;0;39;0;552;0;290
"2013-06-09";0;201;0;172;0;67;0;42;0;651;0;297
"2013-06-10";0;147;0;146;0;46;0;43;0;547;0;518
"2013-06-11";0;129;0;123;0;31;0;36;0;519;0;361
"2013-06-12";0;131;0;106;0;46;0;24;0;643;0;182
"2013-06-13";0;139;0;99;0;27;0;24;0;743;0;128
"2013-06-14";0;168;0;152;0;33;0;30;0;521;0;146
"2013-06-15";0;221;0;205;0;49;0;43;0;509;0;425
"2013-06-16";0;224;0;194;0;75;0;46;0;582;0;252
"2013-06-17";0;144;0;108;0;59;0;42;0;549;0;344
"2013-06-18";0;181;0;127;0;48;0;33;0;592;0;296
"2013-06-19";0;142;0;113;0;43;0;25;0;535;0;214
"2013-06-20";0;119;0;106;0;34;0;31;0;607;0;173
"2013-06-21";0;164;0;114;0;32;0;19;0;502;0;290
"2013-06-22";0;227;0;168;0;60;0;32;0;583;0;195
"2013-06-23";0;216;0;144;0;64;0;60;0;652;0;289
"2013-06-24";0;140;0;129;0;53;0;42;0;475;0;341
"2013-06-25";0;170;0;105;0;44;0;38;0;565;0;302
"2013-06-26";0;120;0;118;0;31;0;25;0;569;0;176
"2013-06-27";0;160;0;103;0;45;0;36;0;491;0;130
"2013-06-28";0;128;0;126;0;30;0;28;0;514;0;159
"2013-06-29";0;198;0;178;0;52;0;45;0;620;0;173
"2013-06-30";0;226;0;181;0;67;0;60;0;658;0;379
"2013-07-01";0;223;0;155;0;75;0;53;0;662;0;298
"2013-07-02";0;249;0;114;0;86;0;40;0;713;0;187
"2013-07-03";0;193;0;112;0;50;0;32;0;767;0;210
"2013-07-04";0;177;0;127;0;55;0;25;0;747;0;158
"2013-07-05";0;166;0;109;0;39;0;17;0;572;0;231
"2013-07-06";0;207;0;161;0;56;0;46;0;515;0;215
"2013-07-07";0;175;0;140;0;62;0;57;0;467;0;188
"2013-07-08";0;199;0;156;0;49;0;33;0;534;0;269
"2013-07-09";0;172;0;104;0;52;0;31;0;569;0;210
"2013-07-10";0;149;0;113;0;48;0;25;0;634;0;245
"2013-07-11";0;147;0;121;0;56;0;28;0;680;0;176
"2013-07-12";0;156;0;113;0;31;0;38;0;518;0;192
"2013-07-13";0;222;0;156;0;53;0;36;0;481;0;143
"2013-07-14";0;238;0;126;0;76;0;35;0;501;0;143
"2013-07-15";0;160;0;122;0;62;0;45;0;583;0;232
"2013-07-16";0;211;0;106;0;54;0;46;0;524;0;186
"2013-07-17";0;203;0;138;0;38;0;38;0;537;0;279
"2013-07-18";0;202;0;108;0;59;0;26;0;673;0;128
"2013-07-19";0;178;0;136;0;35;0;21;0;518;0;178
"2013-07-20";0;252;0;146;0;48;0;41;0;462;0;181
"2013-07-21";0;186;0;139;0;53;0;40;0;453;0;143
"2013-07-22";0;168;0;138;0;42;0;45;0;490;0;256
"2013-07-23";0;204;0;116;0;50;0;33;0;485;0;211
"2013-07-24";0;148;0;115;0;55;0;28;0;436;0;77
"2013-07-25";0;187;0;140;0;40;0;36;0;638;0;191
"2013-07-26";0;169;0;157;0;35;0;30;0;551;0;126
"2013-07-27";0;213;0;161;0;54;0;35;0;560;0;151
"2013-07-28";0;200;0;126;0;69;0;34;0;473;0;169
"2013-07-29";0;168;0;113;0;52;0;31;0;502;0;117
"2013-07-30";0;175;0;146;0;56;0;41;0;428;0;260
"2013-07-31";0;202;0;134;0;72;0;31;0;510;0;173
"2013-08-01";0;256;0;136;0;56;0;41;0;829;0;167
"2013-08-02";0;243;0;119;0;50;0;31;0;608;0;295
"2013-08-03";0;226;0;133;0;56;0;40;0;618;0;155
"2013-08-04";0;217;0;130;0;82;0;39;0;559;0;154
"2013-08-05";0;210;0;140;0;48;0;42;0;634;0;282
"2013-08-06";0;204;0;156;0;61;0;29;0;680;0;140
"2013-08-07";0;173;0;144;0;46;0;35;0;508;0;206
"2013-08-08";0;159;0;134;0;61;0;46;0;658;0;168
"2013-08-09";0;171;0;125;0;55;0;53;0;486;0;158
"2013-08-10";0;219;0;133;0;50;0;31;0;497;0;129
"2013-08-11";0;185;0;127;0;60;0;52;0;477;0;135
"2013-08-12";0;131;0;121;0;70;0;44;0;434;0;175
"2013-08-13";0;188;0;124;0;41;0;50;0;455;0;211
"2013-08-14";0;150;0;99;0;42;0;81;0;544;0;149
"2013-08-15";0;166;0;110;0;46;0;35;0;654;0;125
"2013-08-16";0;205;0;128;0;40;0;32;0;584;0;207
"2013-08-17";0;205;0;154;0;44;0;46;0;542;0;193
"2013-08-18";0;182;0;102;0;64;0;50;0;469;0;173
"2013-08-19";0;144;0;104;0;67;0;48;0;606;0;284
"2013-08-20";0;226;0;167;0;981;0;43;0;571;0;180
"2013-08-21";0;185;0;100;0;33;0;41;0;548;0;124
"2013-08-22";0;145;0;106;0;37;0;61;0;556;0;130
"2013-08-23";0;174;0;143;0;41;0;34;0;458;0;161
"2013-08-24";0;206;0;132;0;53;0;38;0;475;0;147
"2013-08-25";0;184;0;99;0;61;0;44;0;512;0;167
"2013-08-26";0;153;0;105;0;43;0;47;0;475;0;226
"2013-08-27";0;172;0;84;0;34;0;26;0;474;0;158
"2013-08-28";0;135;0;164;0;33;0;75;0;535;0;376
"2013-08-29";0;133;0;130;0;38;0;41;0;735;0;253
"2013-08-30";0;182;0;155;0;26;0;32;0;568;0;181
"2013-08-31";0;208;0;172;0;53;0;48;0;595;0;318
"2013-09-01";0;271;0;167;0;108;0;74;0;977;0;313
"2013-09-02";0;210;0;136;0;108;0;72;0;789;0;260
"2013-09-03";0;226;0;120;0;165;0;37;0;762;0;239
"2013-09-04";0;194;0;117;0;87;0;37;0;608;0;295
"2013-09-05";0;193;0;102;0;68;0;37;0;867;0;211
"2013-09-06";0;137;0;130;0;72;0;33;0;417;0;196
"2013-09-07";0;259;0;166;0;161;0;48;0;670;0;274
"2013-09-08";0;257;0;189;0;125;0;77;0;693;0;270
"2013-09-09";0;185;0;102;0;185;0;56;0;705;0;294
"2013-09-10";0;124;0;97;0;44;0;30;0;527;0;201
"2013-09-11";0;127;0;107;0;36;0;70;0;533;0;183
"2013-09-12";0;149;0;119;0;69;0;31;0;702;0;190
"2013-09-13";0;136;0;111;0;48;0;85;0;404;0;128
"2013-09-14";0;217;0;140;0;103;0;56;0;570;0;228
"2013-09-15";0;249;0;169;0;132;0;107;0;667;0;241
"2013-09-16";0;147;0;110;0;170;0;59;0;462;0;266
"2013-09-17";0;143;0;102;0;60;0;32;0;489;0;180
"2013-09-18";0;166;0;107;0;107;0;38;0;474;0;194
"2013-09-19";0;122;0;99;0;77;0;51;0;562;0;172
"2013-09-20";0;142;0;114;0;37;0;50;0;526;0;155
"2013-09-21";0;232;0;165;0;70;0;81;0;546;0;211
"2013-09-22";0;211;0;170;0;77;0;51;0;640;0;277
"2013-09-23";0;162;0;105;0;1013;0;99;0;490;0;217
"2013-09-24";0;190;0;111;0;49;0;32;0;555;0;207
"2013-09-25";0;140;0;129;0;81;0;47;0;449;0;158
"2013-09-26";0;119;0;104;0;88;0;212;0;451;0;153
"2013-09-27";0;138;0;129;0;184;0;45;0;478;0;221
"2013-09-28";0;259;0;181;0;143;0;100;0;597;0;274
"2013-09-29";0;279;0;216;0;227;0;73;0;626;0;368
"2013-09-30";0;148;0;114;0;137;0;79;0;514;0;209
"2013-10-01";0;197;0;122;0;213;0;59;0;629;0;222
"2013-10-02";0;197;0;102;0;109;0;62;0;582;0;297
"2013-10-03";0;212;0;179;0;134;0;94;0;799;0;177
"2013-10-04";0;186;0;134;0;152;0;43;0;599;0;179
"2013-10-05";0;289;0;204;0;167;0;81;0;692;0;446
"2013-10-06";0;332;0;195;0;242;0;97;0;769;0;302
"2013-10-07";0;177;0;123;0;73;0;45;0;458;0;226
"2013-10-08";0;183;0;97;0;52;0;43;0;553;0;189
"2013-10-09";0;177;0;129;0;109;0;71;0;537;0;184
"2013-10-10";0;183;0;150;0;91;0;43;0;684;0;136
"2013-10-11";0;205;0;131;0;125;0;24;0;536;0;104
"2013-10-12";0;287;0;119;0;141;0;79;0;621;0;356
"2013-10-13";0;276;0;174;0;120;0;138;0;761;0;276
"2013-10-14";0;175;0;121;0;139;0;370;0;400;0;288
"2013-10-15";0;162;0;111;0;107;0;37;0;439;0;193
"2013-10-16";0;155;0;138;0;84;0;39;0;484;0;162
"2013-10-17";0;164;0;96;0;121;0;27;0;587;0;143
"2013-10-18";0;135;0;112;0;87;0;19;0;398;0;420
"2013-10-19";0;259;0;170;0;85;0;52;0;624;0;367
"2013-10-20";0;318;0;197;0;177;0;100;0;635;0;232
"2013-10-21";0;212;0;129;0;996;0;88;0;518;0;152
"2013-10-22";0;182;0;114;0;72;0;42;0;491;0;194
"2013-10-23";0;142;0;98;0;189;0;57;0;482;0;172
"2013-10-24";0;138;0;96;0;96;0;81;0;618;0;99
"2013-10-25";0;159;0;108;0;40;0;78;0;372;0;111
"2013-10-26";0;271;0;129;0;137;0;54;0;575;0;202
"2013-10-27";0;250;0;163;0;192;0;41;0;540;0;367
"2013-10-28";0;125;0;102;0;94;0;38;0;549;0;180
"2013-10-29";0;184;0;108;0;81;0;84;0;407;0;183
"2013-10-30";0;174;0;100;0;122;0;90;0;530;0;114
"2013-10-31";0;179;0;89;0;155;0;24;0;520;0;68
"2013-11-01";0;211;0;137;0;46;0;70;0;302;0;119
"2013-11-02";0;337;0;151;0;247;0;158;0;533;0;141
"2013-11-03";0;353;0;172;0;222;0;59;0;744;0;808
"2013-11-04";0;171;0;158;0;211;0;49;0;448;0;237
"2013-11-05";0;449;0;360;0;126;0;83;0;463;0;208
"2013-11-06";0;384;0;385;0;191;0;97;0;529;0;166
"2013-11-07";0;315;0;277;0;190;0;111;0;603;0;195
"2013-11-08";0;296;0;393;0;135;0;142;0;593;0;176
"2013-11-09";0;488;0;119;0;84;0;21;0;507;0;100
"2013-11-10";0;752;0;395;0;435;0;70;0;681;0;225
"2013-11-11";0;316;0;324;0;122;0;41;0;500;0;234
"2013-11-12";0;345;0;349;0;120;0;46;0;509;0;229
"2013-11-13";0;311;0;300;0;51;0;41;0;405;0;179
"2013-11-14";0;296;0;268;0;130;0;24;0;529;0;142
"2013-11-15";0;304;0;215;0;38;0;31;0;418;0;195
"2013-11-16";0;565;0;437;0;175;0;35;0;656;0;187
"2013-11-17";0;661;0;464;0;146;0;57;0;677;0;215
"2013-11-18";0;379;0;389;0;1018;0;72;0;467;0;184
"2013-11-19";0;370;0;267;0;52;0;40;0;508;0;167
"2013-11-20";0;352;0;251;0;79;0;22;0;459;0;154
"2013-11-21";0;323;0;249;0;153;0;17;0;620;0;142
"2013-11-22";0;262;0;215;0;55;0;70;0;408;0;200
"2013-11-23";0;457;0;290;0;148;0;72;0;482;0;154
"2013-11-24";0;682;0;406;0;217;0;78;0;634;0;232
"2013-11-25";0;367;0;358;0;77;0;29;0;438;0;238
"2013-11-26";0;340;0;312;0;42;0;29;0;485;0;170
"2013-11-27";0;279;0;250;0;89;0;71;0;468;0;145
"2013-11-28";0;270;0;257;0;153;0;29;0;570;0;148
"2013-11-29";0;288;0;251;0;41;0;54;0;613;0;221
"2013-11-30";0;539;0;386;0;86;0;67;0;424;0;184
"2013-12-01";0;991;0;669;0;160;0;115;0;785;0;309
"2013-12-02";0;559;0;401;0;264;0;112;0;488;0;233
"2013-12-03";0;628;0;342;0;254;0;48;0;557;0;236
"2013-12-04";0;452;0;352;0;67;0;60;0;442;0;232
"2013-12-05";0;427;0;300;0;155;0;186;0;765;0;167
"2013-12-06";0;446;0;294;0;85;0;40;0;602;0;154
"2013-12-07";0;627;0;362;0;127;0;116;0;627;0;138
"2013-12-08";0;899;0;653;0;259;0;104;0;707;0;337
"2013-12-09";0;511;0;338;0;194;0;199;0;459;0;251
"2013-12-10";0;458;0;331;0;76;0;58;0;556;0;171
"2013-12-11";0;449;0;314;0;104;0;57;0;472;0;198
